"trial","estimate","ci.lb","ci.ub","model"
"Omitting MTC",0.288764870413518,0.251728200689592,0.328855881104523,"twostep_binorm"
"Omitting HSX",0.313201634569571,0.266407952008394,0.364134712825166,"twostep_binorm"
"Omitting MSM",0.30778384112882,0.271566496616364,0.346533495083474,"twostep_binorm"
"Omitting PWID",0.282264859581627,0.247417659205746,0.319933601897877,"twostep_binorm"
"Omitting MTC",0.250024461368376,0.210632232387479,0.294039542120676,"onestep_bi_rand"
"Omitting HSX",0.26991918528292,0.217637720545067,0.329470869211025,"onestep_bi_rand"
"Omitting MSM",0.253040242427109,0.210511176732462,0.300886787460043,"onestep_bi_rand"
"Omitting PWID",0.247433580898915,0.210612945589747,0.288340099153745,"onestep_bi_rand"
