"","groups","mean","vcov","sd","ci.lb","ci.ub","analysis"
"sing","publication",0.0226452171359135,0.480549138928597,0.693216516629976,0.426466288078546,0.879341127606623,"sing"
"rep","publication",0.020086799196335,0.455119537402105,0.674625479360293,0.46936768498982,0.82535589716508,"rep"
"sing1","publication",0.021613427554563,0.465150591394435,0.682019494878581,0.397143356026213,0.843590165602384,"sing"
"rep1","publication",0.0180712501225936,0.410008141223249,0.640318780939033,0.415954300570632,0.768669636797382,"rep"
"sing2","publication",0.0144365578408997,0.3068703139667,0.553958765583414,0.270511807084334,0.692635155661939,"sing"
"rep2","publication",0.0131611902326747,0.294923948249595,0.543069008736086,0.335182371547329,0.678881179383593,"rep"
"sing3","publication",0.0143227521077279,0.312448017392942,0.558970497784044,0.338052001469486,0.705227467462021,"sing"
"rep3","publication",0.0137708194781245,0.309513093385945,0.556339009405187,0.362420601989721,0.682488926273424,"rep"
"sing4","publication",0.0109405631869333,0.248125683189249,0.49812215689452,0.164386809750662,0.621638742237453,"sing"
"rep4","publication",0.0111769897550261,0.255802899361367,0.505769610950842,0.27776788035403,0.627938620598326,"rep"
"sing5","publication",0.0207972489979019,0.434447960732348,0.659126665165618,0.409067921556633,0.844433549992012,"sing"
"rep5","publication",0.0177794480264837,0.395400825318624,0.628809053146203,0.419315788963777,0.788253641595383,"rep"
