"","covariate","level","est","sd","ci.lb","ci.ub","z.val","p.val","analysis"
"1","(Intercept)",NA,-1.28240354780622,0.246520653942555,-1.80343872667013,-0.778240604691507,-5.20201259933804,1.97141857148604e-07,"no_small"
"2","(Intercept)",NA,-1.11791041720253,0.239460003505099,-1.64480972966873,-0.624929852324908,-4.66846404760335,3.03459866919992e-06,"no_zero"
"3","(Intercept)",NA,-1.39397345400944,0.240194329686142,-1.94486444787923,-0.978515758942886,-5.80352357123054,6.49356193033672e-09,"sga_only"
