"","groups","mean","vcov","sd","ci.lb","ci.ub","analysis"
"sa7_unknown.sing","publication",0.00562962488727151,0.148709838955664,0.385629146921837,0.000705950017159636,0.457038420962017,"sa7_unknown.sing"
"sa7_unknown.rep","publication",0.00883860943548285,0.212573874222979,0.461057343746934,0.170406648499523,0.572248573133064,"sa7_unknown.rep"
"sa7_nounknown.sing","publication",0.00114984409922315,0.0493230192266817,0.222087863753699,5.05157612618227e-05,0.262198052140653,"sa7_nounknown.sing"
"sa7_nounknown.rep","publication",0.00590934324935997,0.148662782200956,0.385568129130192,0.0230643476449224,0.504914857098386,"sa7_nounknown.rep"
