"","trial","estimate.Estimate","estimate.Std. Error","estimate.z value","estimate.Pr(>|z|)","var"
"f1.(Intercept)60","Omitting Todesco_2019",-1.45345973323394,0.181015604665946,-8.02947202212879,9.78930315821767e-16,"Riskgroup"
"f1.riskgroup_MSM60","Omitting Todesco_2019",0.441307435933077,0.223805404505004,1.97183547425553,0.0486283912790177,"Riskgroup"
"f1.riskgroup_MTC60","Omitting Todesco_2019",0.476308472459709,0.321101383647294,1.48335851764158,0.137979182565919,"Riskgroup"
"f1.riskgroup_PWID60","Omitting Todesco_2019",0.927870463347461,0.369143493180606,2.51357664563653,0.011951380515154,"Riskgroup"
"f1.(Intercept)61","Omitting Tovanabutra_2019",-1.44344119264517,0.180825706381769,-7.98249995273184,1.43398862821304e-15,"Riskgroup"
"f1.riskgroup_MSM61","Omitting Tovanabutra_2019",0.394735114506895,0.224767091749109,1.75619620930767,0.0790549117467018,"Riskgroup"
"f1.riskgroup_MTC61","Omitting Tovanabutra_2019",0.467065066029931,0.320123951953769,1.45901318279796,0.144561479364533,"Riskgroup"
"f1.riskgroup_PWID61","Omitting Tovanabutra_2019",0.91394798208042,0.368081952157862,2.48300134446268,0.0130280595910883,"Riskgroup"
"f1.(Intercept)62","Omitting Sivay_2019",-1.45443184227636,0.181126264716316,-8.02993339786651,9.75255950996339e-16,"Riskgroup"
"f1.riskgroup_MSM62","Omitting Sivay_2019",0.442034797649272,0.222798491810206,1.98401162439567,0.0472545440709309,"Riskgroup"
"f1.riskgroup_MTC62","Omitting Sivay_2019",0.477183458435172,0.321233510264615,1.48547222872886,0.137418774693605,"Riskgroup"
"f1.riskgroup_PWID62","Omitting Sivay_2019",0.904724314759479,0.384667720119976,2.35196318130697,0.0186746233100414,"Riskgroup"
"f1.(Intercept)63","Omitting Martinez_2020",-1.45166321355211,0.180530887913723,-8.04107945364934,8.90504911110624e-16,"Riskgroup"
"f1.riskgroup_MSM63","Omitting Martinez_2020",0.44038167595351,0.22242341089057,1.97992501864011,0.047711954685234,"Riskgroup"
"f1.riskgroup_MTC63","Omitting Martinez_2020",0.483599191575248,0.32499495767082,1.48802059896903,0.136745461333779,"Riskgroup"
"f1.riskgroup_PWID63","Omitting Martinez_2020",0.92621503051739,0.368538758319862,2.51320928832541,0.0119638336395661,"Riskgroup"
"f1.(Intercept)64","Omitting VillabonaArenas_2020",-1.39925413767104,0.183093040864186,-7.64231196918606,2.13355452562141e-14,"Riskgroup"
"f1.riskgroup_MSM64","Omitting VillabonaArenas_2020",0.329209989466885,0.230742678099249,1.42674078405765,0.153654625296805,"Riskgroup"
"f1.riskgroup_MTC64","Omitting VillabonaArenas_2020",0.423346434059459,0.321091955427191,1.3184585502811,0.187350191833051,"Riskgroup"
"f1.riskgroup_PWID64","Omitting VillabonaArenas_2020",0.871860713808461,0.368492294495122,2.36602156092033,0.0179803972481654,"Riskgroup"
"f1.(Intercept)65","Omitting Leda_2020",-1.45755086501944,0.183751181417347,-7.93219860561853,2.15299755175032e-15,"Riskgroup"
"f1.riskgroup_MSM65","Omitting Leda_2020",0.496863896805501,0.227960214473595,2.17960795462864,0.029286534658082,"Riskgroup"
"f1.riskgroup_MTC65","Omitting Leda_2020",0.481293155156118,0.321388438622563,1.49754346241853,0.134251905395533,"Riskgroup"
"f1.riskgroup_PWID65","Omitting Leda_2020",0.937816269482171,0.369930025800691,2.53511800631031,0.0112409451861164,"Riskgroup"
"f1.(Intercept)66","Omitting Rolland_2020",-1.51342503173117,0.19225179913548,-7.87209814699659,3.4874239274762e-15,"Riskgroup"
"f1.riskgroup_MSM66","Omitting Rolland_2020",0.539133321663132,0.239668721497301,2.24949387761141,0.0244810919059195,"Riskgroup"
"f1.riskgroup_MTC66","Omitting Rolland_2020",0.532501079471751,0.331004686820885,1.60874181144118,0.107672809168656,"Riskgroup"
"f1.riskgroup_PWID66","Omitting Rolland_2020",0.987312690554191,0.378108195684821,2.61119092847483,0.00902275042633908,"Riskgroup"
"f1.(Intercept)67","Omitting Macharia_2020",-1.45883784111654,0.181471041947412,-8.03895665920787,9.06066181676243e-16,"Riskgroup"
"f1.riskgroup_MSM67","Omitting Macharia_2020",0.417927817271154,0.225953710530662,1.84961696928824,0.0643687752744347,"Riskgroup"
"f1.riskgroup_MTC67","Omitting Macharia_2020",0.481781796223445,0.321123261744095,1.50030176452112,0.13353625259693,"Riskgroup"
"f1.riskgroup_PWID67","Omitting Macharia_2020",0.92886077583449,0.369056027907757,2.51685572269437,0.0118407305132119,"Riskgroup"
"f1.(Intercept)68","Omitting Brooks_2020",-1.42323366046766,0.181146204695562,-7.85682296164897,3.93999114024741e-15,"Riskgroup"
"f1.riskgroup_MSM68","Omitting Brooks_2020",0.417025001927537,0.222618311285013,1.87327358437118,0.0610306156398535,"Riskgroup"
"f1.riskgroup_MTC68","Omitting Brooks_2020",0.448103415863827,0.318956555193907,1.40490423716611,0.160049756449061,"Riskgroup"
"f1.riskgroup_PWID68","Omitting Brooks_2020",0.901051958653987,0.367248532965534,2.45352092050031,0.0141465310403203,"Riskgroup"
"f1.(Intercept)69","Omitting Liu_2020",-1.45258906719654,0.180941600062808,-8.02794419134302,9.91195481982818e-16,"Riskgroup"
