"","trial","estimate.Estimate","estimate.Std. Error","estimate.z value","estimate.Pr(>|z|)"
"(Intercept)","Omitting Wolinsky_1992",-1.29495329079612,0.246028776617413,-5.26342206224859,1.41398464223083e-07
"reported.exposure_HSX:FTM","Omitting Wolinsky_1992",-0.591117966803591,0.231310477429044,-2.55551747319756,0.0106030037498488
"reported.exposure_HSX:nodirection","Omitting Wolinsky_1992",0.556823192600439,0.602987885047964,0.923440099557136,0.355777902754526
"reported.exposure_MSM","Omitting Wolinsky_1992",0.476926487692226,0.210637179901456,2.26420847409441,0.0235612956369288
"reported.exposure_MTC:IntraP","Omitting Wolinsky_1992",0.292780137555475,0.394665660346896,0.741843456302056,0.458182187794198
"reported.exposure_MTC:notiming","Omitting Wolinsky_1992",-0.117311365248332,0.510940001921523,-0.229599101278334,0.818403305296626
"reported.exposure_MTC:PostP","Omitting Wolinsky_1992",-0.223816057820126,0.930379605113407,-0.240564234845673,0.809892872640727
"reported.exposure_MTC:PreP","Omitting Wolinsky_1992",-0.260689181427643,0.389703608435011,-0.668942180121273,0.503532362046735
"reported.exposure_PWID","Omitting Wolinsky_1992",0.781579406280535,0.330226447938965,2.36679833235221,0.0179427067929588
"(Intercept)1","Omitting Briant_1995",-1.26696252967759,0.241971170002224,-5.23600613108558,1.64088504010192e-07
"reported.exposure_HSX:FTM1","Omitting Briant_1995",-0.587915105966538,0.230492257570585,-2.55069351206514,0.0107508822291929
"reported.exposure_HSX:nodirection1","Omitting Briant_1995",0.557598887782417,0.599802527128085,0.92963744326363,0.352558833909354
"reported.exposure_MSM1","Omitting Briant_1995",0.477956835201146,0.207331075290307,2.30528315416252,0.021150720374448
"reported.exposure_MTC:IntraP1","Omitting Briant_1995",0.350641547714371,0.38855627628351,0.902421525829439,0.366832990560967
"reported.exposure_MTC:notiming1","Omitting Briant_1995",-0.628015700045238,0.526967956958646,-1.19175310709551,0.233358067676961
"reported.exposure_MTC:PostP1","Omitting Briant_1995",-0.141034537262386,0.921160068600528,-0.153105352771807,0.878315194747275
