"","covariate","level","est","sd","ci.lb","ci.ub","z.val","p.val","analysis"
"sa7_unknown.sing","(Intercept)",NA,-1.29968190906337,0.245173443792952,-1.83220701739238,-0.885089759570662,-5.30107131081026,1.15125106226012e-07,"sa7_unknown.sing"
"sa7_unknown.rep","(Intercept)",NA,-1.06983403254864,0.187064074087301,-1.43829129865629,-0.793912425409829,-5.71907800986609,1.07103617556051e-08,"sa7_unknown.rep"
"sa7_nounknown.sing","(Intercept)",NA,-1.17310370235399,0.227315630403625,-1.68837954363741,-0.820499915750201,-5.16068208891315,2.46051707936428e-07,"sa7_nounknown.sing"
"sa7_nounknown.rep","(Intercept)",NA,-1.06737939358738,0.187580971574352,-1.46418188361799,-0.757252100744595,-5.69023278123017,1.26866302722301e-08,"sa7_nounknown.rep"
