"","covariate","level","est","sd","ci.lb","ci.ub","z.val","p.val","analysis"
"sing.2","riskgroup","MSM",0.437777188864412,0.221834923022032,-0.00165875442939339,0.83239819667664,1.97343674702172,0.0484458244276849,"sing"
"sing.3","riskgroup","MTC",0.473008304016347,0.319051556482958,-0.229504585846757,1.112607199338,1.48254504453926,0.138195327365142,"sing"
"sing.4","riskgroup","PWID",0.923468163719754,0.367410723330821,0.173133622356066,1.65692972068658,2.51344913220797,0.0119557018174347,"sing"
"rep.2","riskgroup","MSM",0.279398369431337,0.144489183668305,-0.0230057620572886,0.591433522339296,1.93369747366512,0.0531503346477067,"rep"
"rep.3","riskgroup","MTC",0.336663111788084,0.293824313546498,-0.232490811641738,0.889292518616446,1.1457973226399,0.251879023246649,"rep"
"rep.4","riskgroup","PWID",0.975035686445792,0.296521296764391,0.383965994850412,1.5895132832671,3.28824842291356,0.00100812839957333,"rep"
"sing.21","reported.exposure","HSX:FTM",-0.639092981874302,0.233876156931797,-1.20510278886612,-0.146865141263319,-2.73261280781467,0.0062834150088083,"sing"
"sing.31","reported.exposure","HSX:nodirection",0.591541936561372,0.62020609123309,-0.690290402308563,1.71658134972132,0.953782855284881,0.340193569570847,"sing"
"sing.41","reported.exposure","MSM",0.282371005298645,0.239134662707366,-0.0804982778441455,0.726573778580534,1.18080332688611,0.2376808621491,"sing"
"sing.5","reported.exposure","MTC:IntraP",0.624367708881334,0.431359069551163,-0.167334748098108,1.44057846097575,1.44744310008597,0.147772861844497,"sing"
"sing.6","reported.exposure","MTC:notiming",0.204771496658686,0.542211330483425,-0.880817960659435,1.15737281613075,0.377659936534554,0.705683233372729,"sing"
"sing.7","reported.exposure","MTC:PostP",-0.308449030044982,1.06568964184959,-4.99185297806056,1.50647591973665,-0.289436077758664,0.772247689805777,"sing"
"sing.8","reported.exposure","MTC:PreP",0.22894737076527,0.423781636352128,-0.678281849918566,1.03339698597819,0.540248446667078,0.589025706159673,"sing"
"sing.9","reported.exposure","PWID",0.731613738024813,0.3754660161849,0.0221658760828548,1.3657945797778,1.94854848771327,0.0513493689504946,"sing"
"rep.21","reported.exposure","HSX:FTM",-0.291284428391435,0.149484955331472,-0.592952955565319,-0.00618602902952644,-1.94858691796464,0.0513447756650699,"rep"
"rep.31","reported.exposure","HSX:nodirection",0.396337552819488,0.506574436945161,-0.805293849180857,1.34441464985196,0.782387589886209,0.433986824882249,"rep"
"rep.41","reported.exposure","MSM",0.157128604826364,0.159703083270687,-0.184538743689063,0.52467416559248,0.983879594610207,0.325174717794179,"rep"
"rep.5","reported.exposure","MTC:IntraP",0.57581874790623,0.404756354827559,-0.194789248200356,1.39262108072194,1.42263053078326,0.15484328861233,"rep"
"rep.6","reported.exposure","MTC:notiming",0.0598367576074665,0.502097503704426,-1.01389430976662,0.9674595986775,0.119173581159031,0.905137836645722,"rep"
"rep.7","reported.exposure","MTC:PostP",-0.369440064935861,1.03116131587983,-4.10141112992515,1.16404559342046,-0.358275721990832,0.720136984883236,"rep"
"rep.8","reported.exposure","MTC:PreP",0.180349989509727,0.395271308467938,-0.712424813637299,0.967917776807857,0.456268860516995,0.648196653341848,"rep"
"rep.9","reported.exposure","PWID",0.838229175639939,0.300687253369505,0.29839557643595,1.42771108607311,2.78771103944958,0.00530818676709527,"rep"
"sing.22","grouped.method","distance",-0.273979762639379,0.357377625609473,-0.983260070507484,0.431496452347552,-0.766639383683107,0.443295952739944,"sing"
"sing.32","grouped.method","model",-0.640600446973559,0.574862833009144,-2.63724924977873,0.37462813502822,-1.11435356434562,0.265127536052414,"sing"
"sing.42","grouped.method","molecular",0.655669099987512,0.294424252968021,0.039751593964552,1.24249197769233,2.22695342988177,0.0259503863806341,"sing"
"sing.51","grouped.method","phylogenetic:R",-0.326858856196611,0.274623689410087,-0.843887955169678,0.187904071164831,-1.19020633980531,0.233965301999852,"sing"
"sing.61","grouped.method","phylogenetic:S&R",-0.107127053041536,0.309858877894551,-0.763196305044673,0.470324029680415,-0.345728525738716,0.729546744307319,"sing"
"rep.22","grouped.method","distance",-0.414340273417715,0.184099463314827,-0.769244039761777,-0.0265941244388023,-2.25063270667527,0.0244088101084081,"rep"
"rep.32","grouped.method","model",-0.315822592427477,0.196575813491175,-0.697707691817578,0.0626337251123974,-1.60661979120669,0.108137798294439,"rep"
"rep.42","grouped.method","molecular",0.607357600312375,0.272394499564116,0.0614906450304251,1.18331955298424,2.22969847513171,0.0257674671934214,"rep"
"rep.51","grouped.method","phylogenetic:R",-0.271136925618247,0.172560333141734,-0.593716449792274,0.0894135402502206,-1.5712587051831,0.116122568968303,"rep"
"rep.61","grouped.method","phylogenetic:S&R",-0.123849123527694,0.261236867645737,-0.68744443343796,0.373674591693025,-0.474087461864861,0.635437539196308,"rep"
"sing.23","sequencing.gene","gag",0.122896564383961,0.680958178758512,-1.52620388749341,1.4096541002798,0.180475935553075,0.856778944839353,"sing"
"sing.33","sequencing.gene","pol",-1.18498489829149,0.865060469601773,-28.1179064680689,0.139070464590641,-1.36982897720086,0.170740294271257,"sing"
"sing.43","sequencing.gene","whole.genome",-0.972109725696798,0.307987287111375,-1.66754615515714,-0.408970415723617,-3.15633068758862,0.00159767613074296,"sing"
