"","covariate","level","est","sd","ci.lb","ci.ub","z.val","p.val","analysis"
"f1.2","riskgroup","MSM",0.437777188864412,0.221834923022032,0.0258567930561994,0.879654789108899,1.97343674702172,0.0484458244276849,"Riskgroup"
"f1.3","riskgroup","MTC",0.473008304016347,0.319051556482958,-0.193344073454968,1.0711031061317,1.48254504453926,0.138195327365142,"Riskgroup"
"f1.4","riskgroup","PWID",0.923468163719754,0.367410723330821,0.162889403477471,1.66561866703796,2.51344913220797,0.0119557018174347,"Riskgroup"
"f2.2","reported.exposure","HSX:FTM",-0.639092981874302,0.233876156931797,-1.20203097983719,-0.154294858809113,-2.73261280781467,0.0062834150088083,"Reported Exposure"
"f2.3","reported.exposure","HSX:nodirection",0.591541936561372,0.62020609123309,-0.879612248267538,1.77566575880182,0.953782855284881,0.340193569570847,"Reported Exposure"
"f2.4","reported.exposure","MSM",0.282371005298645,0.239134662707366,-0.129762916936695,0.693171697777035,1.18080332688611,0.2376808621491,"Reported Exposure"
"f2.5","reported.exposure","MTC:IntraP",0.624367708881334,0.431359069551163,-0.387983336809146,1.43939070542265,1.44744310008597,0.147772861844497,"Reported Exposure"
"f2.6","reported.exposure","MTC:notiming",0.204771496658686,0.542211330483425,-0.999983176325553,1.17769050994947,0.377659936534554,0.705683233372729,"Reported Exposure"
"f2.7","reported.exposure","MTC:PostP",-0.308449030044982,1.06568964184959,-5.89971675725679,1.41501299141419,-0.289436077758664,0.772247689805777,"Reported Exposure"
"f2.8","reported.exposure","MTC:PreP",0.22894737076527,0.423781636352128,-0.703976119142154,1.00604438737643,0.540248446667078,0.589025706159673,"Reported Exposure"
"f2.9","reported.exposure","PWID",0.731613738024813,0.3754660161849,0.0100200782005832,1.40885712785037,1.94854848771327,0.0513493689504946,"Reported Exposure"
"f3.2","grouped.method","distance",-0.273979762639379,0.357377625609473,-0.947143915948436,0.414764963568009,-0.766639383683107,0.443295952739944,"Grouped Method"
"f3.3","grouped.method","model",-0.640600446973559,0.574862833009144,-2.42895886532969,0.373545261194155,-1.11435356434562,0.265127536052414,"Grouped Method"
"f3.4","grouped.method","molecular",0.655669099987512,0.294424252968021,0.10160734883065,1.23525016616242,2.22695342988177,0.0259503863806341,"Grouped Method"
"f3.5","grouped.method","phylogenetic:R",-0.326858856196611,0.274623689410087,-0.875546168537522,0.204673026089296,-1.19020633980531,0.233965301999852,"Grouped Method"
"f3.6","grouped.method","phylogenetic:S&R",-0.107127053041536,0.309858877894551,-0.734332777172566,0.473372139532057,-0.345728525738716,0.729546744307319,"Grouped Method"
"f4.2","sequencing.gene","gag",0.122896564383961,0.680958178758512,-1.74413418380946,1.3462760823218,0.180475935553075,0.856778944839353,"Sequencing Gene"
"f4.3","sequencing.gene","pol",-1.18498489829149,0.865060469601773,-28.4832203801919,0.0734712709559665,-1.36982897720086,0.170740294271257,"Sequencing Gene"
"f4.4","sequencing.gene","whole.genome",-0.972109725696798,0.307987287111375,-1.64905313626038,-0.378052785044431,-3.15633068758862,0.00159767613074296,"Sequencing Gene"
"f5.2","alignment.bin","0-250",1.02435971442018,0.660733087948222,-0.740734028728065,2.29759160085414,1.55033815182638,0.121060374746488,"Alignment Bin"
"f5.3","alignment.bin","1001-2000",1.07361458888126,0.316620441318537,0.469429351968862,1.79202884249434,3.39085683921823,0.000696744858593152,"Alignment Bin"
"f5.4","alignment.bin","2001-4000",0.659426181055826,0.316104626111451,0.0706670194529778,1.33948535723809,2.08610101398303,0.0369694738820743,"Alignment Bin"
"f5.5","alignment.bin","251-500",1.60876553111491,0.381618750461357,0.89031092025752,2.4776414614995,4.21563544550679,2.49075844792315e-05,"Alignment Bin"
"f5.6","alignment.bin","4001-8000",1.47327604365192,0.659301346187263,0.0919773048393032,2.79264748953195,2.2346019042307,0.0254434957229241,"Alignment Bin"
"f5.7","alignment.bin","501-1000",0.664502622399881,0.391104269067872,-0.123829228883677,1.50691886459094,1.69904210962362,0.0893112496830931,"Alignment Bin"
"f6.2","sampling.delay",">21",0.0905673056495348,0.187482108149425,-0.285304611219673,0.453527499044143,0.483071726382294,0.629044808598782,"Sampling Delay"
"f6.3","sampling.delay","unknown",0.350883962426883,0.27460924199476,-0.208809294774812,0.87551164577721,1.27775729570521,0.201335016018303,"Sampling Delay"
